CODICE_VIA;DENOMINAZIONE;UBICAZIONE;NUMERO_DELIBERAZIONE;DATA_DELIBERAZIONE;GIUNTA;NOTE_DENOMINAZIONE
092009_000020;VIA ALGHERO;VIA GARIBALDI - PIAZZA REPUBBLICA;129;15/12/1900;G.M.;GIA' VICO DEI CAMPI. CITTA' DELLA COSTA OCCIDENTALE DELLA SARDEGNA IN PROVINCIA DI SASSARI.DOPO LA SOSTITUZIONE DELLA POPOLAZIONE CATALANA AI SARDI E AI GENOVESI RIBELLI (1454), DIVENNE UN CAPOSALDO DEL DOMINIO ARAGONESE E POI SPAGNOLO IN SARDEGNA. PORTO E FORTEZZA , LA LINGUA CATALANA E' CARATTERISTICA DI QUESTA CITTA'.;
092009_000021;VIA BETTO ALLIATA;VIA SERBARIU - VIA SAMPANTE RANIERI;850;27/03/1971;G.M.;CASTELLANO DI SAN MICHELE NEL 1305.;
092009_000022;VIA DELLE ALLODOLE;VIA DELLE RONDINI - (chiuso);1706;14/05/1975;G.M.;PICCOLO UCCELLO DELL'ORDINE DEI PASSERIFORMI (ALAUNDA ARVENIS).COMUNE IN ITALIA., NON SI POSA SUGLI ALBERI E NIDIFICA SUL TERRENO.;
092009_000023;PIAZZA DEGLI ALPINI;VIA FOSSE ARDEATINE - VIA DEGLI ARTIGLIERI;2666;13/09/1971;G.M.;SPECIALITA' DELLA FANTERIA ITALIANA ISTITUITA CON R.D. 15 OTTOBRE 1872 DAL PARRUCCHETTI.IMPIEGATA PER LE OPERAZIONI MILITARI IN TERRENO MONTANO.;
092009_000024;PIAZZA MICHELE AMARI;VIA FOSSE ARDEATINE - VIA FOSSE ARDEATINE;2666;13/09/1971;G.M.;STORICO E UOMO DI STATO - PALERMITANO (NATO NEL 1806 - MORTO NEL 1889);
092009_000025;VIA LUIGI AMAT;VIA PESSINA - VIA TUVERI;83;27/12/1956;C.C.;CARDINALE - DIPLOMATICO. (NATO A CAGLIARI IL 21/06/1796 - MORTO A ROMA NEL 1878);
092009_000026;VIA VITTORIO AMEDEO SECONDO;VIA ITALIA - VIA ARGIOLAS;;;;DUCA DI SAVOIA.;
092009_000027;PIAZZA GIOVANNI AMENDOLA;PIAZZA DEFFENU - VIALE ARMANDO DIAZ;495;02/06/1944;D.S.;GIORNALISTA E UOMO POLITICO.(NATO A SALERNO NEL 1886 - MORTO NEL 1926);
092009_000028;VIA ANDRE' MARIE AMPERE;VIA GRASSI - VIA FOSSE ARDEATINE;2666;13/09/1971;G.M.;FISICO FRANCESE: FISSO' I METODI DELLA ELETTROMECCANICA.(NATO NEL 1775 - MORTO NEL 1836);
092009_000029;VIA ANASSAGORA;VIA TOMMASO D'AQUINO - VIA PLATONE;131;29/01/1980;G.M.;FILOSOFO, MATEMATICO, ASTRONOMO.(NATO NEL 1499 A.C. A CLAZOMENE NELLA IONIA - MORTO NEL 429 A.C.);
092009_000030;VIA ANCONA;VIALE ARMANDO DIAZ - VIA MILANO;;;;CITTA' D'ITALIA - CAPOLUOGO DI PROVINCIA - REGIONE MARCHE.;
092009_000031;VIA ANDORRA;VIA GALVANI - VIA TEL AVIV;850;27/03/1971;G.M.;PICCOLA REPUBBLICA TRA LA FRANCIA E LA SPAGNA, NEI PIRENEI. LINGUA IN PREVALENZA CATALANA.DA 10 SECOLI NEUTRALE E AUTONOMA.;
092009_000032;VIA DELL'ANFITEATRO;VIA OSPEDALE - VIALE BUON CAMMINO;129;15/12/1900;G.M.;STRADA D'ACCESSO ALL'INFITEATRO ROMANO.I LAVORI PER METTERLO IN EVIDENZA FURONO DIRETTI DAL CANONICO GIOVANNI SPANO A CURA DEL COMUNE.;
092009_000033;VIA GIOVANNI MARIA ANGIOY;VIA ROMA - CORSO VITTORIO EMANUELE;0;16/11/1891;C.C.;GIA' VIA DEL CONDOTTO.AVVOCATO, GIURISTA.(NATO A BONO NEL 1751 - MORTO A PARIGI IL 22/03/1808);
092009_000034;VIA FRANCESCO ANGIONI CONTINI;VIA TUVERI - VIA SCANO;4799;16/11/1964;G.M.;GIA' 1? TRAVERSA TUVERI.GIURISTA.NATO A BORORE IL 4/3/1844 - MORTO A CAGLIARI IL 21/5/1928);
092009_000035;VIA VITTORIO ANGIUS;VIA PIETRO LEO - VIA AGOSTINO DI CASTELVI';2365;21/09/1961;G.M.;LETTERATO, GIORNALISTA, PROFESSORE ALL'UNIVERSITA' DI CAGLIARI.AUTORE DELL'INNO REGIONALE SARDO, MUSICATO DAL MAESTRO GIOVANNI GONNELLA.( NATO A CAGLIARI NEL 1797 - MORTO A CAGLIARI NEL 1862 ).;
092009_000036;VIA ANGLONA;VIA IS MIRRIONIS - VIA MALFIDANO;327;26/02/1955;G.M.;LOCALITA' DELLA SARDEGNA SETTENTRIONALE IN PROVINCIA DI SASSARI, SUL GOLFO DELL'ASINARA. CENTRI PRINCIPALI: SASSARI, PORTOTORRES, CASTELSARDO, SORSO.;
092009_000037;PIAZZA DELL'ANNUNZIATA;CORSO VITTORIO EMENUELE II - VIA TRENTO;;;;DEDICATA ALL'OMONIMA CHIESA, COSTRUITA NEL XVI SECOLO.;
092009_000038;VIA COLOMBA ANTONIETTI;VIA BALILLA - CHIUSO;2365;21/09/1961;G.M.;GARIBALDINA, SI DISTINSE A VELLETRI E ROMA.(NATA A FOLIGNO - MORTA A ROMA IL 13/6/1849);
092009_000039;VIA DELLE AQUILE;VIA TOTI ENRICO - VIA TAMBURINO SARDO;850;27/03/1971;G.M.;NOME DI DIVERSE SPECIE DI RAPACI DIURNI DELLA FAMIGLIA DEI FALCONIDI.LA PIU' NOTA E' L'AQUILA REALE (AQUILA CHRYSAETUS) DELL'EUROPA E DELL'ASIA.PER IL SUO ASPETTO FIERO E TEMIBILE E ASSURTA FIN DAGLI ANTICHI TEMPI A SIMBOLO DI POTENZA E REGALITA'UCCELLO RAPACE, GRANDE E ROBUSTISSIMO, VIVE SUI MONTI. SPECIE: L'AQUILA DALLA TESTA BIANCA,SIMBOLO DEGLI STATI UNITI D'AMERICA, L'AQUILA ANATRAIA, L'AQUILA URLATRICE, L'AQUILA DEL MARE, L'AQUILA DELLE SCIMMIE.;
092009_000040;VIA AQUILONE;VIA TRAMONTANA - VIA LIBECCIO;4799;16/11/1964;G.M.;VENTO DI SETTENTRIONE (SINONIMO DI TRAMONTANA).;
092009_000041;VIA ARCHIMEDE;VIA FLAVIO GIOIA - PIAZZA PITAGORA;2679;29/07/1966;G.M.;FISICO, MATEMATICO, ENUNCIATORE DI MOLTE LEGGI FISICHE;FAMOSO PER LA FRASE PRONUNCIATA AL RE GERONE DATEMI UN PUNTO D'APPOGGIO E VI SOLLEVERO' IL MONDO (NATO A SIRACUSA NEL 287 a.C. - MORTO A SIRACUSA NEL 212 a.C.).;
092009_000042;PIAZZA DEGLI ARCIPELAGHI;VIALE POETTO - VIA LUNGO SALINE;1149;21/02/1964;G.M.;INSIEME DI ISOLE DISPOSTE IN GRUPPO CHE PRESENTANO TALVOLTA CARATTERISTICHE MORFOLOGICHE O GEOLOGICHE SIIMILARI.ARCIPELAGO ANTICAMENTE ERA IL NOME PROPRIO DEL MAR EGEO, RICCO DI ISOLE.;
092009_000043;VIA ARDENNE; VIA PODGORA - VICOLO CHIUSO;276;27/01/1984;G.M.;ALTOPIANO FRANCESE TEATRO DI BATTAGLIE.;
092009_000044;VIA MARIO ARESU;VIA PIERO DELLA FRANCESCA - VIA G. ASQUER;249;23/02/1978;G.M.;ILLUSTRE PATOLOGO, CAPOSCUOLA DI PATOLOGIA SPECIALE MEDICA E DELLA PATOLOGIA DEL LAVORO. ORGANIZZO' A CAGLIARI DIVERSI CENTRI.(NATO A CAGLIARI 28/4/1892 - MORTO A ROMA 2/5/1963).;
092009_000045;VIA AREZZO;PIAZZA FIRENZE - VIA LUCCA;1217;26/08/1928;D.P.;CITTA' ITALIANA - CAPOLUOGO DI PROVINCIA - REGIONE TOSCANA.;
092009_000046;VIA ARGENTIERA;VIA CORNALIAS - VIA QUINTINO SELLA;2365;21/09/1961;G.M.;LOCALITA' DELLA SARDEGNA IN PROVINCIA DI SASSARI.VECCHIO CENTRO MINERARIO.;
092009_000047;VIA ANTONIO IGNAZIO ARGIOLAS;PIAZZA ITALIA - VIA ANTONIO SEGNI;;;;;
092009_000048;VIA ARGONNE;VIA COL D'ECHELE - VIA MONTE SANTO;131;29/01/1980;G.M.;COLLINE DELLA FRANCIA SETTENTRINALE DOVE COMBATTERONO VOLONTARI ITALIANI NELLA PRIMA GUERRA MONDIALE (1915/18).;
092009_000049;VIA LUDOVICO ARIOSTO;VIA S.BENEDETTO - PIAZZA MICHELANGELO;;;;SOMMO POETA ITALIANO, AUTORE DELL'ORLANDO FURIOSO . (NATO A REGGIO EMILIA NEL 1474 - MORTO A FERRARA NEL 1533).;
092009_000050;PIAZZA ARISTOTELE;VIA SOCRATE - VIA SU PLANU;131;29/01/1980;G.M.;FILOSOFO - SCIENZIATO. ORIGINARIO DI STAGIRA.(NATO NEL 384 A.C. - MORTO NEL 322 A.C.);
092009_000051;PIAZZA D'ARMI;VIA IS MIRRIONIS - VIALE L. MERELLO;;;;DENOMINAZIONE TRADIZIONALE - ZONA DESTINATA AGLI ESERCIZI MILITARI.;
092009_000052;VIA ARNO;VIA PIAVE - (chiuso);219;03/12/1925;C.P.;FIUME D'ITALIA. E' IL PRINCIPALE FIUME DELLA TOSCANA. LUNGHEZZA Km. 241.NASCE DAL FALTERONA, PERCORRE IL CASENTINO, IL VALDARNO, TOCCA FIRENZE, PISA E SFOCIA NEL TIRRENO FORMANDO LA BOCCA D'ARNO.E' PARZIALMENTE NAVIGABILE NEL SUO CORSO INFERIORE; RICEVE L'ELSA, IL BISENZIO E L' OMBRONE.;
092009_000053;VIA SIGISMONDO ARQUER;VIA CAVOUR - VIA LEPANTO;129;15/12/1900;G.M.;GIA' VIA DEL PAGATORE. AVVOCATO, SCRITTORE CRITICO. (NATO A CAGLIARI NEL 1525 - MORTO A TOLEDO NEL 1571).;
092009_000054;VIA S'ARRIU;PIAZZA ITALIA - VIA CURTATONE;2474;09/09/1981;G.M.;;
092009_000055;PIAZZA ARSENALE;VIALE BUON CAMMINO - PIAZZA INDIPENDENZA;;;;FACENTE PARTE DEL BALUARDO DI S.PANCRAZIO, IN ESSA VI ERA SISTEMATO IL FOSSATO CHE COSTITUIVA LA PRIMA DIFESA DELLA TORRE.;
092009_000056;PIAZZA DELLE ARTI;VIA BORROMINI - VIA BORROMINI;1706;14/05/1975;G.M.;DENOMINAZIONE TRADIZIONALE. L'INSIEME DELLE REGOLE E DEI METODI CHE REGGONO UNA DISCIPLINA O UNA PROFESSIONE.;
092009_000057;VIA DEGLI ARTIGLIERI;VIA FOSSE ARDEATINE - VIA DEL TRICOLORE;2666;13/09/1971;G.M.;SOLDATI DELL'ARTIGLIERIA, CORPO MILITARE DELL'ESERCITO.;
092009_000058;VIA ASFODELO;VIA DEL COLLE - VIA TORRICELLI;2365;21/09/1961;G.M.;ASFODELUS ROMOSUS PIANTA ERBACEA PERENNE DELLA FAMIGLIA LILIACEE, CON FIORI BIANCHI IN RACEMO, PROVISTA DI RADICI INGROSSATE, USATE PER FARE COLLA PER SELLAI E LEGATORI DI LIBRI.;
092009_000059;VIA GIUSEPPE ABBA;VIA SONNINO - VIA G. GARIBALDI;2365;21/09/1961;G.M.;ILLUSTRE SCRITTORE DELLE GESTA GARIBALDINE, POETA.[NATO A CAIRO MONTENOTTE (SAVONA) IL 06/10/1838 MORTO A BRESCIA IL 06/11/ 1910].;
092009_000060;VIA ASIAGO;VIA MAGLIAS - VIA MONTELLO;1149;21/02/1964;G.M.;COMUNE DEL VENETO IN PROVINCIA DI VICENZA, SITUATO SULL'OMONIMO ALTOPIANO.NEL 1916 E' TEATRO DI ASPRI COMBATTIMENTI, NEI QUALI VIENE IN GRAN PARTE DISTRUTTA.;
092009_000061;VIA ASPROMONTE;VIA SILA - VIA CORNALIAS;2666;13/09/1971;G.M.;LOCALITA' DELLA CALABRIA - ESTREMITA' MONTUOSA DELL'APPENNINO CALABRESE.;
092009_000062;VIA GIORGIO ASPRONI;VIA BRUSCU ONNIS - VIA 29 NOVEMBRE 1847;2365;21/09/1961;G.M.;ILLUSTRE UOMO POLITICO CHE TANTO CONTRIBUI' ALL'AZIONE DEL RISORGIMENTO. OPERE: DIARIO POLITICO 1855/1878 .(NATO A BITTI (NU) 1808 - MORTO A ROMA IL 30/4/1876);
092009_000063;VIA GIUSEPPE ASQUER;VIA G.BROTZU - VIA G.CRESPELLANI;249;23/02/1978;G.M.;ILLUSTRE UOMO POLITICO, DEDICO' LA SUA VITA PER IL BENE DELLA CITTA' CHE TANTO AMAVA E DELL'INTERA SARDEGNA; CONSIGLIERE REGIONALE.(NATO A CAGLIARI IL 11/1/1889 - MORTO A CAGLIARI IL 2/11/1962).;
092009_000064;VIA ASTI;VIA AOSTA - (chiuso);4799;16/11/1964;G.M.;CITTA' D'ITALIA - COPOLUOGO DI PROVINCIA - REGIONE PIEMONTE.;
092009_000065;VIA DEGLI ASTORI;VIA MESSINA - VIA DEI FALCONI;1149;21/02/1964;G.M.;GIA' VICO MESSINA.UCCELLO RAPACE DIURNO DELLA FAMIGLIA DEI FALCONIDI (ACCIPITER GENTILIS)DIFFUSO IN TUTTA L'EUROPA , VIVE NEI BOSCHI.E' PIU' GROSSO DELLO SPARVIERO A CUI ASSOMOGLIA MOLTO.;
092009_000066;VIA DELL'ASTROLABIO;VIA SCIROCCO - VIA FAVONIO;2303;05/07/1968;G.M.;(GRECO ASTROLABOS, DA ASTRON, ASTRO E LAMBANEIN, PRENDERE).ANTICO STRUMENTO CHE FORNISCE UNA RAPPRESENTAZIONE DEL CIELO IN UN DATO MOMENTO.STRUMENTO CHE SERVE AD OSSERVARE IL MOMENTO IN CUI UNA STELLA RAGGIUNGE UNA DETERMINATA POSIZIONE, GENERALMENTE 60? O 45? AL DI SOPRA DELL'ORIZZONTE.;
092009_000067;VIA ATENE;VIA COSTANTINOPOLI - (chiuso);2303;05/07/1968;G.M.;CITTA' - CAPITALE DELLA GRECIA.;
092009_000068;VIA AUSONIA;VIA LUNGO SALINE - VIA IPPODROMO;327;26/02/1955;G.M.;COMUNE DELLA PROVINCIA DI FROSINONE - REGIONE LAZIO.;
092009_000069;VIA AVOGADRO DI COLLOBIANO;VIA FLAVIO GIOIA - VIA ARCHIMEDE;2679;29/07/1966;G.M.;FISICO.COMPI' GLI STUDI SUI GAS CHE DETERMINARONO LA LEGGE FISICA DI AVOGADRO. (NATO A TORINO NEL 1776 - MORTO A TORINO NEL 1856).;
092009_000070;VIA DOMENICO ALBERTO AZUNI;PIAZZA  YENNE - VIA OSPEDALE;;;;GIA' VIA DELL'ABBEVERATOIO (SEC. XV).GIA' CONTRADA SAN MICHELE.AVVOCATO, GIUDICE, SENATORE, STORICO E LEGISLATORE. CONSIDERATO IN TUTTO IL MONDO COME IL PADRE DEL DIRITTO DELLA NAVIGAZIONE.LAUREATO ALL'UNIVERSITA' DI SASSARI, SI TRASVERI' A TORINO DOVE APPROVONDI' GLI STUDI DEL DIRITTO MARITTIMO, TANTO DA ACQUISTARE FAMA UNIVERSALE ED ESSERE CHIAMATO DA NAPOLEONE CON L'INCARICO DI APPRESTARE IL NUOVO CODICE MARITTIMO E COMMERCIALE DELLA FRANCIA.OPERE PRINCIPALI: ESSAI SUR L'HISTOIRE DU ROYAUME DE SARDAIGNE DISERTAZIONI SULL'ORIGINE DELLA BUSSOLA DIZIONARIO UNIVERSALE RAGIONATO DI GIURISPRUDENZA MERCANTILE DROIT MARITIME DE L'EUROPA (NATO A SASSARI NEL 1749 - MORTO A CAGLIARI NEL 1827 E FU SEPOLTO NELLA BASILICA DI BONARIA).;
092009_000071;VIA OTTONE BACCAREDDA;PIAZZA GARIBALDI - VIA DEI GIUDICATI;0;09/05/1931;D.P.;GIA' VIA SALANDRA.AVVOCATO, SCRITTORE, POETA, FU SINDACO DI CAGLIARI. (NATO A CAGLIARI NEL 1849 - MORTO A CAGLIARI NEL 1921).;
092009_000072;VIA GUIDO BACCELLI;VIA CAGNA - VIA FREUD;4799;16/11/1964;G.M.;SCIENZIATO, UOMO POLITICO ROMANO.(NATO NEL 1832 - MORTO NEL 1916).;
092009_000073;VIA RUGGERO BACONE;VIA STAMIRA - VIA S.TOMMASO D'AQUINO;131;29/01/1980;G.M.;FILOSOFO E SCIENZIATO INGLESE - MONACO FRANCESCANO, DETTO DOCTOR MIRABILIS. SI OCCUPO' DI OTTICA, ASTRONOMIA E MATEMATICA. (NATO 1212 - MORTO 1293).;
092009_000074;VIA BACU ABIS;VIA SERBARIU - VIA CINQUINI;4799;16/11/1964;G.M.;LOCALITA' MINERARIA SARDA. ZONA CARBONIA (PROVINCIA DI CAGLIARI).;
092009_000075;PIAZZA RODERIGO BAEZZA;VIA XXVIII FEBBRAIO - PIAZZA GIOVANNI XXIII;850;27/03/1971;G.M.;;
092009_000076;VIA LODOVICO BAYLLE;VIA ROMA - VIA MANNO;;;;GIA' VIA SAN LEONARDO O SANT'AGOSTINO (SEC. XVIII). AVVOCATO, SCRITTORE E STORICO (NATO A CAGLIARI NEL 1764 - MORTO A CAGLIARI 1839).;
092009_000077;VIA BAINSIZZA;VIA VITTORIO VENETO - (chiuso);1126;20/06/1929;D.P.;COMUNE ITALIANO DELLA PROVINCIA DI GORIZIA.LOCALITA' DI BATTAGLIA DELLA GUERRA 1915/18.;
092009_000078;VIA CESARE BALBO;VIA BACAREDDA - PIAZZA GALILEO GALILEI;;;;LETTERATO E STORICO.(NATO NEL 1789 - MORTO A TORINO NEL 1853).;
092009_000079;VIA PIETRO BALESTRA;VIA ALEO - VIA MATTEI;1706;14/05/1975;G.M.;ARCIVESCOVO DI CAGLIARI.(NATO NEL 1861 - MORTO NEL 1912).;
092009_000080;VIA BALILLA;PIAZZA ITALIA - VIA MARMILLA;;;;GIOVANNI BATTISTA PERASSO E' IL VERO NOME DEL GIOVINETTO EROE GENOVESE. (NATO NEL 1729 - MORTO NEL 1781).;
092009_000081;VIA MATTEO BANDELLO;VIA COPERNICO - VIA BEMBO;850;27/03/1971;G.M.;SCRITTORE. FU TRA I MASSIMI PROSATORI DEL 500.IL SUO CAPOLAVORO LE NOVELLE E' UNA DELLE OPERE PIU' SIGNIFICATIVE DELLA LETTERATURA NARRATIVA ITALIANA DA CUI TRASSE LO SPUNTO SHAKESPEARE PER GIULIETTA E ROMEO.(NATO A CASTELNUOVO SCRIVIA NEL 1485 - MORTO AD AGEN A BASSEN NEL 1561).;
092009_000082;VIA FRATELLI BANDIERA;VIA CUOCO - VIA MASANIELLO;83;27/12/1956;C.C.;PATRIOTI VENEZIANI.ATTILIO (NATO A VENEZIA NEL 1810 - MORTI A VALLONE DI ROVITO (COSENZA) NEL 1844EMILIO (NATO A VENEZIA NEL 1819) . FONDARONO LA SOCIETA' ESPERIA, CHE SI AFFILIA ALLA GIOVANE ITALIA NEL 1842.DURANTE UN'AZIONE INSURREZIONALE IN CALABRIA, VENGONO ARRESTATI DAI BORBONICI E FUCILATI.;
092009_000083;VIA BARBARIGO;VIA DANDOLO - VIA M.A.BRAGADIN;;;;CELEBRE FAMIGLIA VENEZIANA.;
092009_000084;VIA BARBUSI;VIA CORTOGHIANA - VIA MALFIDANO;2679;29/07/1966;G.M.;LOCALITA' MINERARIA DELLA SARDEGNA.(IGLESIENTE). PROVINCIA DI CAGLIARI.;
092009_000085;VIA BARCELLONA;VIA ROMA - PIAZZA G.M.DETTORI;;;;GIA' VIA DE BARCHINONA.STRADA NELLA QUALE VIVEVANO MERCANTI CATALANI. CITTA' DELLA SPAGNA - CAPOLUOGO DELLA CATALOGNA.;
092009_000086;VIA BARI;VIA MILANO - VIA RAVENNA;1429;25/09/1951;G.M.;CITTA' CAPOLUOGO REGIONE PUGLIA.;
092009_000087;VIA BARIGADU;VIA MANDROLISAI - VIA PERTUSOLA;2365;21/09/1961;G.M.;LOCALITA' SARDA - ALTO ORISTANESE.;
092009_000088;VIA BARONIA;VIA IS MIRRIONIS - VIA CORNALIAS;327;26/02/1955;G.M.;REGIONE STORICA DELLA SARDEGNA.;
092009_000089;VIA BARRACCA MANNA;VIA PIRANDELLO - VIA DEL TIMO;850;27/03/1971;G.M.;DENOMINAZIONE TRADIZIONALE.;
092009_000090;VIA BASILICATA;VIA DALMAZIA - VIA TRENTINO;1149;21/02/1964;G.M.;REGIONE D'ITALIA.;
092009_000091;PIAZZA BASTIONE SANTA CATERINA;VIA CANELLES - VIA FOSSARIO;;;;EDIFICATO NEL XVIII SEC. FRA LE MURA PISANE E LA CHIESA DI SANTA CATERINA, DA CUI ASSUNSE LA DENOMINAZIONE.;
092009_000092;VIA BASTIONE SANTA CATERINA;PIAZZA BASTIONE S.CATERINA - PIAZZA LAMARMORA;129;15/12/1900;G.M.;.;
092009_000093;BASTIONE SAN REMY;PIAZZA COSTITUZIONE - VIA DE CANDIA;;;;GIA' PASSEGGIATA UMBERTO I. PRENDE IL NOME DAL VICERE CHE PROMOSSE I LAVORI DI COSTRUZIONE DEI BASTIONI DELLA LEONA DELLA ZECCA.;
092009_000094;VIA CESARE BATTISTI;VIALE TRENTO - VIALE TRIESTE;166;30/09/1920;C.S.;PATRIOTA, POLITICO E GIORNALISTA.(NATO A TRENTO NEL 1875 - MORTO A TRENTO NEL 1916).;
092009_000095;VIA CARLO BAUDI DI VESME;VIA PORTOVESME - VIA SERBARIU;2365;21/09/1961;G.M.;PALEOGRAFO E FILOLOGO. (NATO A CUNEO NEL 1809 - MORTO NEL 1877).;
092009_000096;VIA BEATO ANGELICO;VIA DESSY` DELIPERI - VIA BOTTICELLI;1706;14/05/1975;G.M.;SOPRANNOME DI FRA GIOVANNI DA FIESOLE (AL SECOLO GUIDO DI PIETRO)FRATE DOMENICANO, CELEBRE PER LA SOAVITA' DEI SUOI DIPINTI ED INSIGNE MINIATURISTA.(NATO NEL 1387 - MORTO NEL 1455).;
